neuron_id,method,x,y,cluster,d1,d2,d3,d4,d5,v,u,energy,spike_counter,io_role
151519750,tsne,-4.322957992553711,-0.2949923276901245,,6.0,2.0,8.0,9.0,0.0,-65.0,-13.0,1.0,0,internal
4294969350,tsne,7.634697437286377,-1.6184340715408325,,6.0,8.0,0.0,0.0,1.0,-65.0,-13.0,1.0,0,internal
4295099656,tsne,5.313521385192871,-0.25750038027763367,,8.0,5.0,2.0,0.0,1.0,-65.0,-13.0,1.0,0,internal
4295166215,tsne,7.708441734313965,0.4046206772327423,,7.0,9.0,3.0,0.0,1.0,-65.0,-13.0,1.0,0,internal
4295295489,tsne,-21.71932029724121,-9.26633358001709,,1.0,2.0,5.0,0.0,1.0,-65.0,-13.0,1.0,0,internal
4295362819,tsne,3.8568975925445557,19.93414306640625,,3.0,9.0,6.0,0.0,1.0,-65.0,-13.0,1.0,0,internal
4295493632,tsne,3.948612928390503,21.566370010375977,,0.0,8.0,8.0,0.0,1.0,-65.0,-13.0,1.0,0,input
4311746052,tsne,6.275097370147705,-2.3840858936309814,,4.0,6.0,0.0,1.0,1.0,-65.0,-13.0,1.0,0,internal
4311941639,tsne,-13.23238468170166,-11.862138748168945,,7.0,2.0,3.0,1.0,1.0,-65.0,-13.0,1.0,0,internal
4312137984,tsne,-22.323741912841797,-8.713808059692383,,0.0,1.0,6.0,1.0,1.0,-65.0,-13.0,1.0,0,input
4312205569,tsne,4.3574628829956055,20.908010482788086,,1.0,9.0,7.0,1.0,1.0,-65.0,-13.0,1.0,0,internal
4328521733,tsne,-15.792191505432129,-12.033490180969238,,5.0,0.0,0.0,2.0,1.0,-65.0,-13.0,1.0,0,internal
4328653316,tsne,-17.174379348754883,-10.989992141723633,,4.0,2.0,2.0,2.0,1.0,-65.0,-13.0,1.0,0,internal
4328783879,tsne,-11.790756225585938,-10.61722183227539,,7.0,0.0,4.0,2.0,1.0,-65.0,-13.0,1.0,0,internal
4328916740,tsne,4.804011344909668,17.071388244628906,,4.0,7.0,6.0,2.0,1.0,-65.0,-13.0,1.0,0,internal
4329046531,tsne,-24.901771545410156,4.628926753997803,,3.0,2.0,8.0,2.0,1.0,-65.0,-13.0,1.0,0,internal
4329112327,tsne,-28.077320098876953,4.244678974151611,,7.0,3.0,9.0,2.0,1.0,-65.0,-13.0,1.0,0,internal
4345364995,tsne,-17.579221725463867,-11.528424263000488,,3.0,2.0,1.0,3.0,1.0,-65.0,-13.0,1.0,0,internal
4345495808,tsne,-19.075820922851562,-10.150362968444824,,0.0,1.0,3.0,3.0,1.0,-65.0,-13.0,1.0,0,input
